frontend_id,backend_id,frequency_sales,frequency_add,recency,nmv
14341885,11463743,0,36,6,0
7482651,4635487,0,35,2,0
8413145,5571657,0,35,4,0
7058197,4212346,0,35,8,0
882018,882104,0,37,3,0
6505179,3660786,0,36,7,0
11185807,8309758,0,36,1,0
8830761,5988915,0,36,1,0
5842892,3000320,0,35,1,0
2144839,2143730,0,35,3,0
9978589,7106287,0,37,2,0
6444900,3600666,0,35,15,0
832655,832727,0,37,1,0
5805305,2962862,0,37,3,0
8926028,6084103,0,36,2,0
952742,952824,0,36,7,0
382602,382602,0,37,5,0
1484588,1485081,0,35,2,0
62344,62344,0,37,12,0
734812,734815,0,37,2,0
847283,847360,0,37,3,0
2242681,2241204,0,36,9,0
7560123,4712792,0,37,2,0
10738409,7864999,0,35,11,0
896947,897027,0,37,2,0
11176480,8300435,0,35,4,0
264942,264942,0,37,2,0
13240167,10362786,0,35,4,0
16654471,13635103,0,37,8,0
12236967,9360171,0,37,4,0
105524,105524,0,37,2,0
7242072,4395801,0,36,3,0
13143700,10266340,0,35,5,0
10385835,7512790,0,36,5,0
6666405,3821571,0,37,3,0
152374,152374,0,36,7,0
751776,751789,0,37,1,0
1953981,1953373,0,35,7,0
843359,843433,0,37,3,0
1862398,1861944,0,36,2,0
1366073,1366031,0,36,8,0
7548380,4701086,0,36,1,0
8333906,5492467,0,37,4,0
17780835,14757872,0,36,1,0
522832,522832,0,36,1,0
7804033,4956922,0,37,17,0
10380485,7507443,0,37,2,0
1875377,1874912,0,36,8,0
15689332,12688129,0,35,1,0
13286196,10408806,0,35,6,0
17139082,14117922,0,35,4,0
5417903,2584944,0,36,18,0
276640,276640,0,36,2,0
7510713,4663494,0,35,1,0
7447565,4600558,0,37,2,0
8101451,5260308,0,35,10,0
8761832,5920003,0,36,1,0
1888647,1888159,0,36,15,0
1779460,1779098,0,35,13,0
12315950,9439119,0,35,1,0
5530795,2696943,0,36,4,0
1608469,1608253,0,35,2,0
7831780,4984020,0,35,2,0
1191274,1191269,0,37,9,0
7172045,4325933,0,36,1,0
8971479,6129551,0,37,2,0
5102849,2271383,0,36,10,0
11699471,8822857,0,37,14,0
17592132,14569682,0,36,8,0
8164621,5323444,0,37,4,0
11878913,9002210,0,35,6,0
5941628,3098636,0,36,1,0
135061,135061,0,35,8,0
8660693,5819268,0,35,3,0
7398413,4551525,0,37,9,0
2075735,2074826,0,37,1,0
9284821,6442667,0,36,8,0
85988,85988,0,37,6,0
5320214,2487714,0,36,1,0
915068,915149,0,35,15,0
1109192,1109213,0,37,7,0
8519083,5677541,0,35,1,0
10314640,7441619,0,36,6,0
14147090,11269023,0,37,4,0
8784716,5942883,0,37,5,0
1867186,1866728,0,35,2,0
13848352,10970599,0,35,2,0
7037394,4191575,0,37,7,0
553412,553412,0,36,15,0
2167245,2166066,0,35,1,0
10292073,7419053,0,35,15,0
9085518,6243431,0,35,1,0
6742245,3897095,0,35,4,0
7348387,4501933,0,36,1,0
8904443,6062526,0,36,5,0
13692192,10814493,0,35,11,0
9702629,6832023,0,36,4,0
11185458,8309409,0,35,2,0
1231885,1231866,0,35,2,0
7329425,4482999,0,35,1,0
1191645,1191640,0,36,7,0
5349369,2516729,0,37,2,0
5255587,2423555,0,35,6,0
5290718,2458416,0,35,4,0
603802,603802,0,35,3,0
1136729,1136732,0,37,2,0
6267402,3423623,0,35,2,0
5380889,2548110,0,36,4,0
5674907,2834338,0,37,7,0
11927954,9051241,0,35,2,0
5197504,2365706,0,36,9,0
859514,859594,0,35,13,0
1751184,1750850,0,37,1,0
6284596,3440728,0,37,3,0
5815484,2973007,0,37,7,0
5730898,2888863,0,35,4,0
8362587,5521105,0,35,1,0
5999680,3156536,0,35,2,0
383672,383672,0,37,2,0
8356653,5515194,0,35,2,0
1043374,1043405,0,37,14,0
6030937,3187723,0,37,1,0
9889067,7016842,0,36,3,0
5521937,2688150,0,35,9,0
403036,403036,0,35,1,0
1235503,1235483,0,35,1,0
6667306,3822455,0,35,1,0
5147890,2316258,0,36,1,0
10580550,7707452,0,35,3,0
9252233,6410080,0,37,3,0
1436043,1435990,0,37,17,0
808786,808863,0,36,6,0
16788368,13768536,0,36,4,0
10204306,7331671,0,35,1,0
2070030,2069152,0,37,1,0
1530006,1530480,0,35,15,0
14360918,11482765,0,37,4,0
792184,792259,0,35,1,0
16172505,13155181,0,35,10,0
5851619,3008903,0,36,2,0
10371682,7498641,0,36,1,0
1431206,1431157,0,35,8,0
11154984,8278946,0,35,3,0
131266,131266,0,37,10,0
1352749,1352714,0,35,8,0
1003429,1003517,0,35,6,0
9099267,6257173,0,35,2,0
5399265,2566415,0,36,2,0
6988696,4142939,0,36,2,0
7658166,4810586,0,37,1,0
13310564,10433164,0,35,4,0
6476529,3632208,0,35,3,0
1456107,1456038,0,35,5,0
8997995,6156018,0,36,3,0
6661632,3816809,0,35,5,0
7624933,4777387,0,37,7,0
11358975,8482607,0,36,7,0
6928500,4082814,0,35,2,0
95553,95553,0,36,4,0
8038211,5197107,0,36,2,0
1818860,1818449,0,36,2,0
16119397,13102241,0,37,5,0
1352426,1352391,0,37,2,0
15886,15886,0,36,3,0
5622174,2781843,0,35,5,0
1171851,1171847,0,37,1,0
542806,542806,0,35,1,0
537341,537341,0,37,1,0
105483,105483,0,37,1,0
2078008,2077082,0,35,2,0
7839601,4991838,0,35,2,0
14773466,11876614,0,36,9,0
6086792,3243433,0,35,16,0
1141929,1141930,0,37,15,0
11134158,8258128,0,35,4,0
530484,530484,0,36,5,0
10044885,7172496,0,35,1,0
432020,432020,0,37,3,0
390527,390527,0,35,3,0
6638408,3793670,0,36,7,0
6500215,3655844,0,36,11,0
9640598,6770015,0,37,2,0
11995799,9119072,0,35,2,0
12035866,9159118,0,35,3,0
6041458,3198221,0,36,8,0
9010888,6168907,0,36,17,0
9159464,6317318,0,36,7,0
14390148,11511987,0,36,1,0
13418346,10540842,0,36,2,0
2218526,2217177,0,36,1,0
1804326,1803934,0,35,1,0
12601018,9724053,0,36,3,0
253145,253145,0,36,1,0
17434768,14412707,0,36,11,0
7581680,4734214,0,35,3,0
5540316,2705086,0,35,12,0
8163698,5322523,0,37,5,0
10624121,7751017,0,36,1,0
1392399,1392353,0,36,4,0
10606304,7733203,0,36,4,0
147965,147965,0,37,6,0
757213,757230,0,37,7,0
1133698,1133706,0,37,5,0
8478181,5636654,0,37,1,0
7771843,4925291,0,35,4,0
89615,89615,0,36,12,0
11411441,8535059,1,35,9,46900
6136299,3292829,1,37,4,52400
117857,117857,1,35,8,55450
17823053,14799949,1,35,4,71000
1447433,1447369,1,36,16,71000
8196982,5355777,1,37,9,73000
7496099,4648909,1,36,4,81900
8867485,6025628,1,37,11,83000
88005,88005,1,35,1,83000
836282,836356,2,36,8,102000
10700943,7827546,1,35,1,103000
888505,888587,1,36,4,109000
6821686,3976316,1,36,4,111000
5400199,2567346,1,35,2,114000
266541,266541,1,35,1,117000
15137040,12197755,1,37,9,138000
12299957,9423128,1,35,6,149000
9774463,6902319,1,37,3,163500
7454812,4607716,1,37,3,165500
12856187,9978912,2,37,1,166000
1034789,1034942,1,37,2,174000
127161,127161,1,37,6,178800
5679611,2839028,1,36,3,181000
693296,693291,1,37,3,185000
7128586,4282629,1,35,1,190000
6266554,3422775,1,35,2,191000
10899265,8025614,1,35,2,194000
13597930,10720266,1,35,3,194000
1303636,1303608,2,36,2,196000
8679803,5838192,2,35,7,199000
13786130,10908399,1,36,4,207000
2056573,2055737,1,35,4,212399
108701,108701,2,36,10,212600
7889689,5043849,2,37,1,218000
7739709,4892078,1,35,3,218800
87045,87045,1,36,5,223900
5119826,2288304,1,37,1,234000
73651,73651,1,35,2,238100
9122463,6280345,2,35,1,241000
5703526,2862777,1,36,5,259000
10106197,7233634,1,37,9,270000
45355,45355,1,37,1,270700
1503083,1503574,1,37,10,279400
1142586,1142587,1,35,15,279836
18299816,15275553,2,37,6,282020
204693,204693,3,35,1,294000
8787456,5945622,2,35,3,295000
8068521,5227405,3,36,7,305000
134280,134280,1,35,2,310000
12232244,9355451,1,35,2,322600
6919563,4073881,1,36,16,324529
5132848,2301281,2,35,3,325000
7891047,5045405,2,35,16,331000
18431865,15407264,1,35,12,337000
7783340,4936722,3,36,1,337350
11840241,8963559,1,36,1,343000
2146315,2145201,3,37,5,344300
7956609,5115846,1,35,4,348700
13183031,10305659,2,36,4,357000
5771308,2928991,2,35,1,358800
15143178,12203227,1,35,1,360600
457341,457341,2,36,7,364900
13842,13842,1,36,14,371000
10134293,7261705,1,35,2,375030
13730353,10852635,3,37,9,382000
5697092,2856406,2,36,7,389000
5967767,3124698,1,36,1,391800
6995737,4149976,1,37,10,395000
2053205,2052375,2,37,1,404500
406307,406307,2,35,2,406700
6344436,3500442,1,37,5,412000
445579,445579,2,35,1,413385
15532694,12548016,3,36,13,414400
12178877,9302099,1,36,15,416600
902380,902461,2,36,5,417600
5679120,2838539,1,37,13,418000
6713375,3868329,1,37,1,419000
6505732,3661338,1,35,6,419600
11320719,8444357,2,35,2,422000
310060,310060,3,37,1,422827
10389465,7516418,2,35,3,423000
6253865,3410160,2,35,4,433250
11630351,8753764,1,37,2,436000
2066745,2065877,1,37,2,439000
6286034,3442162,2,36,3,445000
14669265,11783587,4,36,3,448075
631645,631645,2,35,6,455000
11468328,8591932,3,35,2,464000
11481247,8604846,3,35,3,467000
15543298,12556329,3,35,5,470500
16224462,13206839,3,37,6,471000
11320653,8444291,2,37,3,475898
124817,124817,2,37,2,478100
10127893,7255315,5,36,9,481300
5927538,3084592,3,37,6,489319
1010318,1010411,2,35,14,490000
684891,684891,1,36,4,498900
10205075,7332440,3,37,14,499000
954584,954669,1,37,16,501000
220676,220676,2,37,4,504000
6283482,3439615,1,36,3,504600
66288,66288,2,37,2,507730
723575,723588,4,36,5,512000
6757216,3912020,4,36,3,513000
8214237,5373014,1,37,3,513100
1587879,1588311,3,36,10,514500
812223,812303,2,37,2,522500
5661746,2821230,2,35,1,522500
321336,321336,1,36,14,525080
982650,982743,2,35,3,532000
8495182,5653649,2,37,6,559100
645576,645576,1,36,3,564400
3039105,2246465,3,35,5,568100
147341,147341,2,35,8,571200
1414126,1414079,2,36,1,573000
9604711,6734135,1,35,3,575000
649710,649710,1,35,2,578000
715802,715805,3,35,14,579400
1673526,1673282,5,36,6,583200
7289618,4443260,1,36,4,586000
121420,121420,3,36,1,587275
584699,584699,5,36,1,594554
7813559,4965807,2,35,3,601000
12099139,9222371,3,36,3,603000
14685968,11798387,4,35,16,605600
8022591,5181528,9,37,3,606000
16590082,13570996,2,36,2,612000
12431616,9554718,2,35,4,618000
5574171,2738767,3,35,3,622250
5829266,2986740,1,36,5,631900
6210689,3367047,2,35,17,633100
1666624,1666378,2,35,1,639000
11019303,8145314,2,37,5,647800
572934,572934,2,36,5,648000
217971,217971,1,37,3,649000
5142253,2310654,3,35,8,652000
11074386,8198388,4,35,1,652400
14672185,11786171,1,37,4,657000
7777511,4930894,12,36,2,657398
348292,348292,1,37,3,660900
6922900,4077218,2,35,1,665300
5707359,2866513,8,37,3,668600
14734088,11841254,5,35,17,669100
1115640,1115656,3,37,8,673340
5702980,2862236,3,37,1,680600
26123,26123,2,35,7,690900
5396590,2563759,3,35,2,694792
10865728,7992093,2,35,1,699900
5580527,2745023,3,35,2,706300
7860752,5012974,2,36,1,707000
12375403,9498535,2,36,8,712632
12435438,9558541,2,35,5,722920
9685543,6814965,3,35,15,727000
18500820,15476097,9,36,1,730510
15219127,12269840,2,36,2,732000
15315237,12354714,8,37,4,735599
799569,799645,2,37,1,735900
355916,355916,2,36,7,738700
6203996,3360384,3,37,3,742699
692132,692126,3,36,14,749250
9842288,6970089,2,36,3,750399
6043939,3200695,2,37,2,751000
5668211,2827672,1,36,3,755000
796158,796236,2,36,3,758000
8427040,5585549,5,36,14,759000
7770972,4924413,3,37,1,771100
17518313,14496038,3,37,1,775500
13536625,10659080,1,36,5,779000
8753607,5911783,4,35,1,779800
786858,786934,1,35,9,785000
12143478,9266705,5,36,1,785900
8904715,6062798,2,37,10,786015
6204280,3360668,4,35,4,787100
11410626,8534244,3,36,1,795000
12679262,9802272,3,35,5,798200
1260295,1260274,1,36,1,799400
1970,1970,2,37,7,800000
80996,80996,7,37,2,808600
15021365,12095554,1,36,5,808800
7415070,4568145,3,37,3,811900
13973929,11096053,4,37,1,812700
970122,970207,4,36,1,815038
367784,367784,4,37,1,819400
5461496,2627969,6,36,1,821344
1750420,1750086,3,37,2,823560
16215178,13197626,3,35,1,826500
10176884,7304254,2,36,4,834700
10512524,7639432,6,37,5,835700
7596881,4749362,3,36,12,838000
5177499,2345765,2,36,2,842200
6313241,3469305,2,36,1,845900
5407879,2574963,1,37,1,854000
13149617,10272256,2,36,3,857000
134393,134393,2,36,4,857800
8866542,6024685,2,35,10,859950
5630572,2790193,4,35,1,861100
1173286,1173282,2,35,2,862400
6602449,3757799,5,36,4,870000
2066276,2065409,2,37,4,875000
1319390,1319360,3,36,3,882000
6180969,3337399,4,37,16,882800
6040521,3197282,2,36,6,883000
10324746,7451722,5,37,2,887600
275016,275016,2,36,1,888300
9653019,6782429,5,37,6,888600
5422730,2589753,3,36,1,889000
11076307,8200309,3,36,3,898420
17166778,14145503,3,36,10,900000
869228,869305,3,37,2,901000
12795272,9918008,7,37,4,903278
9668156,6797595,5,36,5,903550
8496190,5654656,1,35,2,903600
515862,515862,3,35,7,904000
16524429,13505557,6,36,4,904000
1396115,1396069,2,37,11,912600
8790844,5949009,2,37,2,915300
6718364,3873291,2,35,12,918009
5987902,3144801,2,37,2,919300
511445,511445,2,36,2,920000
5448204,2614745,3,36,2,920260
6207675,3364061,4,37,2,921100
6646700,3801947,5,37,2,924938
5536438,2701230,3,37,1,926000
1161285,1161282,4,36,4,927002
12881114,10003834,4,35,1,935000
8133391,5292220,5,37,2,938296
955404,955489,5,35,7,950970
7755157,4895500,4,35,1,951300
101072,101072,3,35,2,956035
10135521,7262933,3,36,1,958000
1446787,1446724,2,35,17,960379
362979,362979,3,35,15,961450
17534987,14512666,3,36,5,962600
888506,888588,2,35,3,962800
6191822,3348236,4,36,1,966250
9755943,6883805,3,35,7,967700
5517656,2683898,3,36,3,971000
5674901,2834332,2,37,2,980900
6324947,3480987,6,37,1,986300
7517343,4670109,2,37,4,988000
1081309,1081331,2,36,5,994060
7814071,4966319,3,35,14,997000
8952191,6110261,6,36,5,997672
10837010,7963563,6,36,2,1003100
1593587,1594015,1,35,6,1004000
5485127,2651495,4,35,8,1008000
1914061,1913532,1,36,4,1016000
18671371,15646126,5,37,9,1016800
111554,111554,4,35,1,1018000
7932331,5093126,6,36,1,1026430
130855,130855,4,35,7,1027800
6040274,3197036,5,36,7,1032180
2073670,2072769,5,35,2,1036400
17496206,14473983,2,36,12,1037000
16710885,13691325,3,35,8,1038440
1224011,1224000,2,36,1,1046784
13035605,10158280,2,35,3,1046805
1763726,1763379,3,36,10,1047000
5725020,2883235,1,37,1,1049000
10373488,7500446,6,37,7,1050081
10233091,7360094,1,37,8,1051000
832485,832557,2,35,8,1054000
11020067,8146078,6,36,3,1054360
7735456,4887760,5,37,1,1057000
438097,438097,3,35,2,1068300
5457721,2624214,1,35,5,1070000
1754280,1753943,2,35,3,1070406
11671906,8795301,3,35,3,1075000
8977837,6135908,6,36,2,1078300
8378530,5537047,5,37,4,1094200
1736041,1735728,4,36,14,1096000
7900799,5056764,2,37,1,1098400
152330,152330,5,36,1,1098900
6262859,3419122,1,36,1,1103910
11703466,8826851,4,35,13,1112500
703162,703153,7,35,2,1115490
10157602,7284990,4,36,5,1115600
11628902,8752315,6,37,3,1123920
12609637,9732672,2,36,8,1125030
474496,474496,8,35,1,1128100
1290592,1290532,7,36,6,1132700
13804228,10926487,2,35,1,1133900
9257780,6415626,3,37,5,1138000
9959704,7087418,3,37,3,1138500
13445,13445,4,35,3,1140100
298142,298142,1,35,2,1144000
5935648,3092672,3,37,15,1146000
15709077,12706022,4,37,1,1146500
1907777,1907259,5,36,3,1147000
9201364,6359214,3,35,1,1148600
2105997,2104999,4,35,5,1151649
9298505,6456351,5,35,11,1163500
9122879,6280761,2,35,2,1163901
17668658,14646043,2,36,1,1166000
559003,559003,2,35,1,1167600
10423194,7550141,2,36,1,1173000
6860276,4014817,4,36,10,1179500
5735694,2893532,3,37,5,1181300
306522,306522,3,36,2,1182501
609653,609653,2,35,5,1183000
5381998,2549215,4,36,1,1184640
12513634,9636699,6,35,6,1188550
2139764,2138666,7,37,7,1204500
1318206,1318176,3,36,3,1207000
669390,669390,3,37,8,1211999
820026,820112,4,36,2,1213260
9137154,6295018,2,36,2,1217000
6246611,3402914,3,36,1,1219300
12872114,9994838,6,35,12,1232100
8655355,5813733,3,36,3,1236800
5432107,2599022,4,35,4,1237700
6818943,3973578,4,37,2,1238000
819758,819833,3,35,4,1239000
1001011,1001098,3,35,5,1239000
18549902,15524920,1,37,9,1239000
11205514,8329378,6,36,5,1241000
6811243,3965909,5,37,1,1244400
8533525,5691979,4,36,6,1247875
5369154,2536435,4,35,5,1248060
18300798,15276534,3,37,1,1248500
591384,591384,2,37,3,1249146
8278919,5437531,2,37,4,1250800
571677,571677,3,35,10,1255500
12876986,9999707,4,37,8,1256800
653114,653114,3,35,3,1276000
15471615,12493365,4,36,3,1281600
1109102,1109123,8,35,2,1297200
397371,397371,3,35,1,1304000
5478191,2644597,2,37,1,1304000
2164171,2162999,4,37,10,1311000
678597,678597,6,36,1,1322836
2096682,2095714,3,35,5,1336000
5337256,2504671,4,35,3,1342150
1231131,1231113,5,35,5,1342700
4159143,2250616,7,35,7,1344800
18373358,15348916,1,37,15,1349000
18546,18546,3,35,2,1353250
2037605,2036808,3,35,2,1354200
11921178,9044465,3,36,10,1358000
7862106,5014327,2,36,16,1358750
9830176,6957980,3,35,3,1361000
9889455,7017231,3,36,5,1361000
1610195,1609976,3,36,11,1362800
6469333,3625023,5,35,6,1363950
16068801,13051891,6,36,3,1365300
8883550,6041637,5,36,4,1368300
1858051,1857599,3,37,5,1368399.99
518539,518539,4,36,7,1375280
30551,30551,5,36,17,1377900
16759719,13739982,3,35,4,1378800
11239601,8363423,4,35,1,1387887
12881859,10004580,3,37,3,1391003
5362712,2530017,4,37,16,1393300
15703908,12701301,2,37,6,1393800
